Catergory,Label,Synonym,Id,,,,,,,,,,,
:Category:Anterior piriform cortex,,,nlx_12056,,,,,,,,,,,
:Category:Basal pons,,,nlx_70371,,,,,,,,,,,
:Category:Ciliary ganglion,,,nlx_anat_100304,,,,,,,,,,,
:Category:Cochlea,,,birnlex_1190,,,,,,,,,,,
:Category:Dorsal root ganglion,,,birnlex_2596,,,,,,,,,,,
:Category:Epiglottis,,,nlx_151722,,,,,,,,,,,
:Category:Lumbar spinal cord ventral horn,,,birnlex_891,,,,,,,,,,,
:Category:Mediodorsal thalamus,,,nlx_66882,,,,,,,,,,
:Category:Neostriatum,(Striatum),,birnlex_1672,,,,,,,,,,
:Category:Olfactory glomerulus,,,nlx_subcell_20090503,,,,,,,,,,
:Category:Palate,,,nlx_151721,,,,,,,,,,,
:Category:Posterior cricoarytenoid muscle,,,nlx_143569,,,,,,,,,,,
:Category:Proximal,(Proximal to),,PATO_0001195,,,,,,,,,,,
:Category:Retina,,,birnlex_1153,,,,,,,,,,,
:Category:Sacral spinal cord,,,birnlex_1275,,,,,,,,,,,
:Category:Spinal cord,,,birnlex_1709,,,,,,,,,,,
:Category:Spinal cord dorsal horn,,,birnlex_2667,,,,,,,,,,,
:Category:Spinal cord ventral horn,,,birnlex_2668,,,,,,,,,,,
:Category:Spinocerebellar tract,,,nlx_60355,,,,,,,,,,,
:Category:Spiral organ of Corti,,,birnlex_2526,,,,,,,,,,,
:Category:Thoracic spinal cord ventral horn,,,birnlex_1410,,,,,,,,,,,
:Category:Thyroarytenoid muscle,,,nlx_143568,,,,,,,,,,,
:Category:Tongue,,,nlx_151720,,,,,,,,,,,
:Category:Ventral nuclei of the lateral lemniscus,,,nlx_50884,,,,,,,,,,,
:Category:Vestibular ganglion,,,birnlex_2549,,,,,,,,,,